Q,A,type
12시 땡!,하루가 또 가네요.,original
"12시에요, 하루가 지나갔네요.",다시 하루가 지나간 것 같아요.,augmented
12시가 되었네요. 하루가 또 지났군요.,"네, 하루가 또 지나갔습니다.",augmented
또 12시가 되었어. 하루가 지나간 거예요.,"네, 시간이 정말 빠르네요.",augmented
1지망 학교 떨어졌어,위로해 드립니다.,original
1지망 학교 탈락했는데 어떻게 해야 할까요?,이번 실패를 성장의 기회로 삼으세요. 다른 학교나 전공을 고려해보거나 재수에 대한 계획을 세워보는 것도 방법입니다.,augmented
1지망 안 됐는데 너무 슬퍼서 도움이 필요해요,"마음이 힘들 때는 가까운 친구나 가족에게 이야기를 나누는 것이 좋아요. 또한, 새로운 목표를 설정해보면 기분이 향상될 수 있어요.",augmented
1지망 학교 떨어진 후에 다음에 어떤 준비를 해야 하나요?,"다음에 준비할 때는 이전의 경험을 바탕으로 목표를 조정하세요. 학업 성취도나 인턴십, 자격증 등 다양한 경험을 쌓는 것을 고려해보세요.",augmented
3박4일 놀러가고 싶다,여행은 언제나 좋죠.,original
3박4일 여행 계획 있어?,여행 계획은 언제나 흥미로운 주제죠.,augmented
3박4일 정도로 여행 가는 거 어때?,여행은 항상 좋은 선택이 될 수 있어요.,augmented
3박4일 놀기 좋은 곳 추천해줄 수 있어?,여행지는 여러 가지로 추천드릴 수 있어요.,augmented
3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.,original
3박 4일 일정으로 여행 가는 거예요. 추천하는 지역이 있나요?,"여행 목적에 따라 달라지지만, 가족 여행이면 조용하고 편안한 곳, 친구들과 가면 즐거운 분위기의 장소가 좋을 것 같아요.",augmented
3박 4일 정도로 여행 계획 중이에요. 체크인과 체크아웃은 어떻게 해야 하나요?,"보통 숙소 체크인은 오후 2시~3시, 체크아웃은 오전 11시~12시입니다. 하지만 이는 호텔마다 다르므로 예약 시 확인하는 게 좋아요.",augmented
3박 4일 여행을 가는 거예요. 가방 싸는 팁이 있을까요?,"필요한 옷과 용품을 정리하고, 날씨와 활동에 맞게 준비하세요. 또한 짐을 가볍게 정리하는 것이 편리해요.",augmented
PPL 심하네,눈살이 찌푸려지죠.,original
"PPL 심하네, 왜 그러지?",기분이 안 좋을 때 흔히 그러하지요.,augmented
이거 너무 심한 거 아냐?,"그렇죠, 조금은 여유를 가졌으면 좋겠네요.",augmented
PPL 심할 때 어떻게 해야 하나요?,호흡을 가다듬어 보는 건 어때요?,augmented
SD카드 망가졌어,다시 새로 사는 게 마음 편해요.,original
"SD카드가 손상되었는데요, 대처 방법을 추천해주세요.",새로운 SD카드를 구매하는 것이 가장 안전하고 편리한 방법입니다.,augmented
"카드가 망가졌어, 어떻게 해야 할까?",새로운 SD카드를 사는 것이 좋아요. 기존 데이터를 복구하려고 애쓰다 보면 더 손실할 수 있어요.,augmented
"SD카드가 고장났는데, 해결책이 뭐야?",새로운 SD카드를 구매하여 사용하는 것이 가장 간단하고 효과적인 방법이에요.,augmented
SD카드 안돼,다시 새로 사는 게 마음 편해요.,original
SD카드가 안 되는 건가요?,새로운 것을 사는 것이 더 좋습니다.,augmented
SD카드 사용이 불가능한 건가요?,새로운 것을 구매하는 것이 더 안정적입니다.,augmented
SD카드가 안 되나요?,새로운 것을 사는 것이 더 편리합니다.,augmented
SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.,original
SNS에서 맞팔을 왜 안해주는지 궁금해死나요. 이유가 있을까요?,"그 사람은 아직 내 계정에 관심이 없거나, 맞팔을 하는 습관이 없을 수도 있어요.",augmented
왜 내게 맞팔을 안해줄까? 너무 신기하네요.,모르는 사람에게 맞팔을 요청하는 것이 어색할 수 있기 때문에 그러할 수 있어요.,augmented
SNS에서 누군가가 나를 팔로우했는데 왜 맞팔을 안할까요?,"그 사람에게 나에 대한 정보가 충분하지 않거나, 팔로우를 한 이유가 단순히 정보를 보기 위한 것일 수 있어요.",augmented
SNS 시간낭비인 거 아는데 매일 하는 중,시간을 정하고 해보세요.,original
"SNS에 너무 많은 시간을 보내고 있는데, 어떻게 하면 줄일 수 있을까요?",매일 사용할 시간을 정해두고 그 범위 내에서만 사용해보세요.,augmented
매일 SNS에 빠져서 시간이 너무 흐르는 거예요. 도움 주세요!,"하루에 사용할 시간을 설정하고, 그 시간이 지나면 꼭 멈추는 습관을 들이세요.",augmented
"SNS를 끊지 못하고 계속 사용하고 있는데, 방법이 있나요?",정해진 시간 동안만 사용하려고 의식적으로 노력해보세요. 점점 습관이 될 거예요.,augmented
SNS 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요.,original
SNS 보는 시간이 너무 많아지는데 어떻게 줄일 수 있을까요?,하루에 사용할 시간을 정해두면 도움이 될 수 있어요.,augmented
자꾸 SNS를 보게 되는 습관을 어떻게 끊을 수 있나요?,일정 시간마다 체크하거나 알림을 끄는 방법을 시도해보세요.,augmented
SNS에 너무 많은 시간을 보내고 있는데 해결 방법이 있나요?,"사용 시간을 제한하거나, 대체 활동을 찾는 것이 도움이 될 수 있습니다.",augmented
SNS보면 나만 빼고 다 행복해보여,자랑하는 자리니까요.,original
SNS 보면 왜 다들 행복한 것 같을까요? 나만 그런 느낌이 들어요.,그런 건 자랑하려는 의도에서 쓰는 공간이기도 해서 그런 거죠.,augmented
"내 주변 사람들은 다 행복한데 나만 아니라고 느껴질 때, 어떻게 해야 할까요?","외부 표현은 그 사람의 일부만 보여줄 수 있고, 내 삶에 집중하는 게 중요해요.",augmented
SNS에서 사람들은 왜 늘 좋은 모습만 보이는 거예요?,좋은 이미지를 보여주고 싶은 욕구와 연결된 부분이기도 합니다.,augmented
가끔 궁금해,그 사람도 그럴 거예요.,original
"어떤 일이 가끔 궁금해지기도 하는데요, 그럴 때마다 상대방도 비슷한 생각을 할까?",그 사람도 유사한 감정을 가지거나 생각할 가능성이 있어요.,augmented
왜 가끔은 마음속으로 궁금증이 떠오르는 걸까?,사람은 자연스럽게 자신의 감정이나 상황을 성찰하게 되는 경우가 많아요.,augmented
"가끔은 이런 생각이 들 때, 어떻게 해야 더 잘 이해할 수 있을까요?",상대방의 입장에서 공감하거나 대화를 통해 더 깊이 이해해볼 수 있어요.,augmented
가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.,original
어때? 그 사람도 궁금해할 수 있겠지.,"맞아, 그런 경우도 있겠네.",augmented
왜 그런 걸 생각해보면,사람들은 종종 자신이 아닌 다른 사람의 일에 관심을 가질 때가 있단다.,augmented
그런 생각이 들 때는 어떻게 해야 하나요?,그럴 땐 그 사람에게 직접 물어보는 게 가장 간단한 방법이죠.,augmented
가끔은 혼자인게 좋다,혼자를 즐기세요.,original
혼자 있는 게 어때요?,혼자 있는 시간을 즐기면 좋아요.,augmented
혼자만의 시간이 필요할 때 어떻게 해야 하나요?,그때는 혼자만의 시간을 즐기고 자기 자신과 대화해보는 게 좋아요.,augmented
항상 사람들과 같이 있어야만 행복할까?,"아니요, 혼자 있는 것도 중요하고 즐길 수 있는 시간이에요.",augmented
가난한 자의 설움,돈은 다시 들어올 거예요.,original
가난한 사람의 고통은 어떻게 해소할 수 있나요?,시간이 지나면 경제적 상황이 개선될 수 있습니다.,augmented
재정적으로 어려운 상황에서 어떻게 대처해야 할까요?,조금씩 계획적으로 재정을 관리하면 나아질 수 있습니다.,augmented
돈이 없을 때는 어떻게 해야 하나요?,다른 방법으로 해결하거나 기다리는 것이 좋습니다.,augmented
가만 있어도 땀난다,땀을 식혀주세요.,original
그냥坐着 있어도 땀이 나는데 어떻게 해야 해요?,시원한 물로 얼굴을 대거나 선크림을 바르면 도움이 될 수 있습니다.,augmented
일하지 않아도 땀이 흘리게 되면 문제가 있나요?,피부의 땀선 기능에 문제가 있을 수 있으니 병원에 진료받는 것이 좋습니다.,augmented
무더위에 땀이 많아지는 이유는 뭔가요?,체온 조절로 인해 땀을 많이 내는 경우가 있습니다. 수분을 충분히 섭취하세요.,augmented
가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.,original
가상화폐 완전히 끝났나요?,그런 건 걱정 마시고 새롭게 시작하는 게 좋아요.,augmented
이제 암호화폐는 전망이 없을까요?,그런 생각은 버리고 새로운 기회를 찾아보는 것이 좋습니다.,augmented
비트코인 같은 건 더 이상 어때요?,그렇게 생각하지 말고 앞으로의 가능성에 집중해보세요.,augmented
가스불 켜고 나갔어,빨리 집에 돌아가서 끄고 나오세요.,original
가스불을 켜두고 집을 나왔어요. 어떻게 해야 할까요?,尽快 回去 关掉 가스불을 끄고 다시 나와 주세요.,augmented
가스불 켜고 나갔다가 집에 없던 시간이 있는데 걱정입니다.,빨리 집으로 돌아가서 가스밸브를 확인하고 끄는 게 좋아요.,augmented
가스불을 켜고 나서 잠시 후에야 실수를 깨달았는데요.,집으로 돌아가서 가스불을 끄고 다시 나와 주세요. 안전이 가장 중요합니다.,augmented
가스불 켜놓고 나온거 같아,빨리 집에 돌아가서 끄고 나오세요.,original
"집에 나왔는데 가스불이 켜져 있는 것 같아, 어떻게 해야 해?",지금 바로 집으로 돌아가서 가스불을 끄고 다시 나와야 해.,augmented
"가스불 켜놓고 나왔다는 걸 깨달았어, 대처법 알려줘",빨리 집에 돌아가서 가스불을 끄는 게 가장 중요해. 빠르게 대처해!,augmented
"가스밸브가 열려 있다고 생각는데, 어떻게 해야 할까?","즉시 집으로 돌아가서 가스밸브를 닫고, 안전을 확인한 후에 다시 나와야 해.",augmented
가스비 너무 많이 나왔다.,다음 달에는 더 절약해봐요.,original
이번달 가스요금이 너무 높아요. 어떻게 하면 줄일 수 있을까요?,다음달에는 가스 사용을 줄이는 방법을 생각해보세요.,augmented
가스비가 예전보다 훨씬 많이 나왔어요. 왜 그런가요?,"가스비가 높은 이유는 다양한 요인이 있지만, 다음달에는 사용량을 줄이기 위해 노력해보세요.",augmented
